sub;k;k_id;k_wm;k_gm;k_csf;k_skl;k_sft;p;p_id;e;e_r;e_t
4;reference;0;2.167000025510788e-01;0.4659999907016754;1.7100000381469729;0.0160000007599592;0.4137000143527984;reference;0;208.5151023887393;99.33622695271539;168.77200412495077
4;reference;0;0.2167000025510788;0.4659999907016754;1.7100000381469729;0.0160000007599592;0.4137000143527984;anterior;1;195.82719870207708;91.42098683236986;159.91328510006664
4;reference;0;0.2167000025510788;0.4659999907016754;1.7100000381469729;0.0160000007599592;0.4137000143527984;central;2;208.72579820259782;107.28700207331174;162.3645279063714
4;reference;0;0.2167000025510788;0.4659999907016754;1.7100000381469729;0.0160000007599592;0.4137000143527984;lateral;3;206.1957114560186;90.3296927597211;172.35691929726127
4;reference;0;0.2167000025510788;0.4659999907016754;1.7100000381469729;0.0160000007599592;0.4137000143527984;posterior;4;223.44327333947209;107.37522882926396;180.0830716053464
4;halton_1;1;0.14575625155625155;0.25274958274958276;1.6970937070937069;0.03828485688485689;0.23232730132730134;reference;0;254.89909793135158;112.25475161965974;210.4322697572604
4;halton_1;1;0.14575625155625155;0.25274958274958276;1.6970937070937069;0.03828485688485689;0.23232730132730134;anterior;1;240.7953788719721;101.63859581665183;201.84245359228902
4;halton_1;1;0.14575625155625155;0.25274958274958276;1.6970937070937069;0.03828485688485689;0.23232730132730134;central;2;258.0543496050164;118.97461254196577;210.52648348311712
4;halton_1;1;0.14575625155625155;0.25274958274958276;1.6970937070937069;0.03828485688485689;0.23232730132730134;lateral;3;245.0100862787096;103.79813615623965;204.11486183409377
4;halton_1;1;0.14575625155625155;0.25274958274958276;1.6970937070937069;0.03828485688485689;0.23232730132730134;posterior;4;259.656778928848;117.52579682832409;212.712845701355
4;halton_2;2;0.3291240895240895;0.46883039883039884;1.8496551996551995;0.046267125667125666;0.2876996606996607;reference;0;200.92499372983923;103.55011113851805;158.52755221406616
4;halton_2;2;0.3291240895240895;0.46883039883039884;1.8496551996551995;0.046267125667125666;0.2876996606996607;anterior;1;186.65884609412646;94.81812381843817;148.10196058665682
4;halton_2;2;0.3291240895240895;0.46883039883039884;1.8496551996551995;0.046267125667125666;0.2876996606996607;central;2;198.59353400644974;108.27049758126861;151.76162813573333
4;halton_2;2;0.3291240895240895;0.46883039883039884;1.8496551996551995;0.046267125667125666;0.2876996606996607;lateral;3;200.35571056243887;96.70241460444558;162.47398291810526
4;halton_2;2;0.3291240895240895;0.46883039883039884;1.8496551996551995;0.046267125667125666;0.2876996606996607;posterior;4;216.2707280955804;111.05702792575738;171.1090687417384
4;halton_3;3;0.23464379964379967;0.6878104478104479;2.0570493770493767;0.01909069609069609;0.33269362869362873;reference;0;274.8952445033689;124.98280242720733;226.6830860319962
4;halton_3;3;0.23464379964379967;0.6878104478104479;2.0570493770493767;0.01909069609069609;0.33269362869362873;anterior;1;259.77281796008504;118.17857033559332;213.52448157529335
4;halton_3;3;0.23464379964379967;0.6878104478104479;2.0570493770493767;0.01909069609069609;0.33269362869362873;central;2;280.8324088208162;135.33445501552356;226.63766838605216
4;halton_3;3;0.23464379964379967;0.6878104478104479;2.0570493770493767;0.01909069609069609;0.33269362869362873;lateral;3;263.06148489810306;113.80083606338788;220.2039339673757
4;halton_3;3;0.23464379964379967;0.6878104478104479;2.0570493770493767;0.01909069609069609;0.33269362869362873;posterior;4;283.1762226637727;127.39577456731327;234.97949188885227
4;halton_4;4;0.4949966265966266;0.33534518534518537;1.37016781016781;0.02227782427782428;0.3728841308841309;reference;0;297.0737539341379;147.54442398963909;239.40308084185065
4;halton_4;4;0.4949966265966266;0.33534518534518537;1.37016781016781;0.02227782427782428;0.3728841308841309;anterior;1;281.80220583159314;137.5185935090217;229.56554315482137
4;halton_4;4;0.4949966265966266;0.33534518534518537;1.37016781016781;0.02227782427782428;0.3728841308841309;central;2;303.1161209333357;160.0757211007048;236.76920766170736
4;halton_4;4;0.4949966265966266;0.33534518534518537;1.37016781016781;0.02227782427782428;0.3728841308841309;lateral;3;282.6830814459316;131.47933774603644;232.75202237904364
4;halton_4;4;0.4949966265966266;0.33534518534518537;1.37016781016781;0.02227782427782428;0.3728841308841309;posterior;4;297.5051971625952;146.4344253421746;239.10372790156646
4;halton_5;5;0.08014905954905956;0.5333437533437533;1.5744800744800744;0.025653630453630453;0.41102722202722203;reference;0;255.4341363370692;123.24339737785819;206.62457203838596
4;halton_5;5;0.08014905954905956;0.5333437533437533;1.5744800744800744;0.025653630453630453;0.41102722202722203;anterior;1;243.72630959510778;117.53589532831894;197.58891490539364
4;halton_5;5;0.08014905954905956;0.5333437533437533;1.5744800744800744;0.025653630453630453;0.41102722202722203;central;2;265.82051923034834;137.35795009144914;206.25457984094598
4;halton_5;5;0.08014905954905956;0.5333437533437533;1.5744800744800744;0.025653630453630453;0.41102722202722203;lateral;3;244.69613710620322;109.50779833940271;203.88389340179785
4;halton_5;5;0.08014905954905956;0.5333437533437533;1.5744800744800744;0.025653630453630453;0.41102722202722203;posterior;4;264.3993417991048;125.92335381332491;215.35014422684728
