sub;k;k_id;k_wm;k_gm;k_csf;k_skl;k_sft;p;p_id;p_x;p_y;v;e;e_x;e_y;e_z;e_r;e_t;j;j_x;j_y;j_z;j_r;j_t
4;reference;0;0.2167000025510788;0.4659999907016754;1.7100000381469727;0.01600000075995922;0.41370001435279846;reference;0;0;0;89.27975959944187;208.51510238874;177.79417660820602;42.13368712739386;85.4350491451022;99.3362269527166;168.77200412495174;99.87015562615834;84.52028354628739;20.24647621528019;40.63392542916628;47.39650169631317;80.92799499348084
4;reference;0;0.2167000025510788;0.4659999907016754;1.7100000381469727;0.01600000075995922;0.41370001435279846;anterior;1;0;1;88.39670916579976;195.8271987020777;170.29609080247405;27.824936296154043;79.10151205637102;91.42098683237101;159.91328510006753;94.02767094341112;81.05493221309384;14.312991636816475;37.66202371642624;43.68787044960907;76.89322003801577
4;reference;0;0.2167000025510788;0.4659999907016754;1.7100000381469727;0.01600000075995922;0.41370001435279846;central;2;1;0;89.74565661385755;208.72579820259833;161.43226933306326;36.54294304932675;115.7366514908823;107.28700207331313;162.3645279063722;100.37281227621425;76.956572261963;18.09875027479663;55.037954369514345;51.59521565368764;78.04149823512633
4;reference;0;0.2167000025510788;0.4659999907016754;1.7100000381469727;0.01600000075995922;0.41370001435279846;lateral;3;-1;0;88.6503090828857;206.19571145601938;185.2949754545541;48.764140124370975;57.00888909282581;90.32969275972229;172.35691929726235;98.29702747463378;87.7984029314118;22.95796306777261;27.57427755908525;42.665036866379104;82.41953609454683
4;reference;0;0.2167000025510788;0.4659999907016754;1.7100000381469727;0.01600000075995922;0.41370001435279846;posterior;4;0;-1;90.01015718029738;223.44327333947274;181.01786789192042;75.57188931892499;90.12190880742001;107.37522882926528;180.08307160534724;106.58244863556531;85.89276253222502;34.83968820792921;42.85683243339731;50.98716691913961;85.94838462701489
4;halton_1;1;0.13852396607398987;0.4170370101928711;1.2831250429153442;1.2670326232910156;1.0792399644851685;reference;0;0;0;32.724111166366676;253.35572888593933;211.86622136455804;38.386866642779395;102.51460155268344;116.06625778388046;205.84517063830995;100.73268456550657;83.31254901169214;15.540702974869669;41.132684710945085;46.181340843481834;81.79501444344974
4;halton_1;1;0.13852396607398987;0.4170370101928711;1.2831250429153442;1.2670326232910156;1.0792399644851685;anterior;1;0;1;31.914454667688794;237.35625674401783;196.42450440071167;45.46639447759986;93.94407782877197;104.5501203661617;195.8208357848574;94.63562751949279;77.44895715835702;18.367275299304207;37.81177717883058;41.63530046209553;78.08590188843824
4;halton_1;1;0.13852396607398987;0.4170370101928711;1.2831250429153442;1.2670326232910156;1.0792399644851685;central;2;1;0;33.33183809556407;260.1289580835693;197.30117700303856;38.66803058534886;134.4860165593331;126.41804582083938;205.67556338506984;103.6984373478167;77.81140185764613;15.905015585355578;53.2667529818303;50.42891890306784;81.97032529699142
4;halton_1;1;0.13852396607398987;0.4170370101928711;1.2831250429153442;1.2670326232910156;1.0792399644851685;lateral;3;-1;0;31.90219510360272;241.286424585761;214.71027330104386;40.04691167316664;74.6341764317426;102.39828028410504;201.68508687252753;95.40691467545521;84.1670335459453;15.798764835955106;30.462055770311864;40.422364395859205;79.74918957560995
4;halton_1;1;0.13852396607398987;0.4170370101928711;1.2831250429153442;1.2670326232910156;1.0792399644851685;posterior;4;0;-1;33.2934062854182;270.9337787591987;220.6286213219411;66.21740788641904;108.0713618945307;126.8545683622607;218.33549662487616;107.07366242683527;86.44610178327139;25.492067071932844;43.160037499488915;50.20799919441902;86.2012314978392
