sub;x;y;z;area;volume;depth
4;-8.726155217511087;45.12119234116623;-11.305596277055766;3635.71484375;10341.0;38.02543160025657
5;-10.726931042678453;45.22681959087451;-15.506082108464268;2917.958740234375;7892.0;38.53818308648517
6;-10.76801655495409;43.5602973852695;-11.936630161989505;3264.65625;8766.0;40.43098422204309
18;-9.049508108873344;46.63378486910398;-14.341759924841346;3340.507080078125;8260.0;36.53654031014616
20;-9.173747807980636;44.25314924370096;-12.981633639439343;3005.500244140625;8276.0;36.03281199361692
38;-8.350895627054433;45.08338057924003;-14.387144735342877;2724.359619140625;8414.0;36.60397443256782
41;-8.455129054859544;43.4465464301;-11.514880952380953;3451.0029296875;9072.0;38.988262418401305
42;-8.561556482787205;40.87420543988906;-12.337328551654712;2924.438232421875;7947.0;41.17137142419965
43;-9.640384419138165;45.330791726578404;-12.806322473771397;3138.130859375;9055.0;37.42690869157055
44;-9.791496680436062;45.36767205258499;-11.98568307946629;3307.783935546875;8469.0;38.10152573686294
45;-9.74695078153036;41.81493624520554;-17.719087523277466;2792.8349609375;8055.0;34.89810786161417
46;-7.778718018876824;43.6137624376834;-13.700117880630351;2962.260009765625;8059.0;40.37463621910371
47;-8.425085388737125;42.20163055373167;-13.920715692711752;3342.551025390625;9138.0;41.44984654363748
48;-6.789908490086426;39.36324351804779;-15.357651245551601;2834.9296875;7868.0;40.21218856143418
49;-9.540510819912555;45.85123773937413;-10.839794488556748;3140.71484375;8564.0;41.03679660902242
50;-8.633650743160993;47.0399650380473;-11.916546954435368;3303.5439453125;8922.0;39.58721987342279
51;-9.169143336499232;41.9926739780709;-14.41562556857081;2980.344482421875;8386.0;40.735951395441916
52;-9.316060979365568;43.894140675289165;-12.465532286212914;3444.075927734375;9741.0;34.22487579073924
53;-10.00781185228554;45.13572386058981;-10.731002200498072;3289.90185546875;8952.0;39.02323434425316
54;-10.517343356258099;44.15505837009207;-11.026332672343404;3163.915771484375;8573.0;37.02843803704779
