sub;x;y;z;area;volume;depth
4;-35.41420995245646;35.601808885451575;26.583813593281988;8237.3173828125;23274.0;23.547054191855537
5;-36.32003524305992;35.05515232392829;22.40069667738478;6738.18505859375;18660.0;22.301160505832456
6;-36.73575433993894;35.6741236197982;25.67917492437676;5654.6123046875;19174.0;26.878586552744178
18;-37.477144053605045;35.56956451051937;22.67006514982202;5884.5869140625;18776.0;24.377259770148758
20;-32.53912592733118;40.18695247275393;23.89102973246104;5809.90087890625;18801.0;23.185236661042705
38;-36.6305621295536;39.728915591410605;25.100035021778186;6846.646484375;21904.0;22.579160861284564
41;-35.65524864229328;38.25336390677094;25.20378007850276;6741.921875;17579.0;22.522608209574507
42;-33.763873828307155;39.34367031294485;23.742390464300577;6011.7265625;16821.0;23.178220522176225
43;-36.92003083011761;36.95663530970642;24.268860966229386;6711.26318359375;18981.0;21.573625690837435
44;-34.29849533574698;40.84754391019102;24.959030422834;6974.447265625;20741.0;22.052615173343153
45;-38.28204426873137;36.643135933094676;21.97681403171552;7095.373046875;20810.0;21.510409880028156
46;-32.034496482366094;41.21597414083811;26.425468146239968;7097.095703125;20186.0;24.310238239704457
47;-37.057869642895554;34.28722227565644;24.478383187457922;6913.974609375;20794.0;22.443787092152174
48;-33.569855020307436;40.21876767261323;24.48435813068737;6247.73046875;19451.0;26.327499198040847
49;-35.55765384277063;39.793969534499176;26.118542366087087;6677.06689453125;19957.0;23.899649126947704
50;-35.44561929581882;37.32817760364086;22.460556536237952;6803.94384765625;19803.0;22.48166176517076
51;-31.636547831825066;39.00101896635702;24.72863221131457;6631.75244140625;20023.0;22.09890219351155
52;-37.95678191489362;34.61365329224232;23.358684533551553;6960.1181640625;19552.0;21.524101630853163
53;-38.658527724140825;33.142575757575756;24.701472275950994;6359.0087890625;19800.0;24.077475930175396
54;-36.64538292341299;36.05209492623641;26.18471761700277;6321.1064453125;18397.0;23.45468861490266
