sub;x;y;z;area;volume;depth
4;-26.27668341260669;-20.198872638634978;58.34884979880343;5051.787109375;16410.0;29.295840377621648
5;-26.629626885360253;-21.34539262955352;55.87875917310183;5822.62744140625;20849.0;28.227335261763404
6;-27.512820978002882;-20.56729233608158;54.178825622775804;5695.88720703125;17422.0;33.60374833374015
18;-27.151844585375727;-19.52209154730031;57.60290845260112;5444.9384765625;20408.0;31.000002767468658
20;-26.99640360132099;-13.833272927710249;57.318978256280346;5112.0537109375;18948.0;26.651236764735906
38;-27.011370526306894;-18.076401146867283;54.638715388129164;6711.51416015625;22697.0;29.90205917823954
41;-28.079039425143186;-16.790862340323613;54.15102046075349;5860.59765625;19403.0;30.91872588743876
42;-23.422530035959237;-17.46494063062135;55.07309259557128;5835.73876953125;18651.0;31.241600321327468
43;-26.02483124657985;-24.117226193665108;56.99111884506316;5614.640625;19395.0;28.199360513994453
44;-26.02881200654988;-12.298420390141517;58.738361831218974;5184.77978515625;18130.0;28.320032818726393
45;-26.255460140745175;-18.941790715117847;56.67468021068473;5319.9072265625;19935.0;29.478865166131435
46;-26.585532496542893;-17.700662481911703;55.37783249905807;5482.5166015625;18579.0;32.42505293520232
47;-23.59762324038036;-20.201957107389994;56.21320849400454;5640.3505859375;18931.0;30.0832425333053
48;-23.46376272737673;-14.889743736414598;58.840493078595124;5148.39599609375;17482.0;33.28227614249044
49;-25.635513123687495;-21.270705226748653;56.763787471176016;6904.888671875;20816.0;32.581297661963106
50;-26.042082253051476;-20.221365009294846;56.311660015480896;5574.416015625;17623.0;28.68224844082675
51;-26.134619262988583;-24.885501915119608;54.685080335994975;5206.3173828125;16711.0;29.091187220245793
52;-27.134424938104885;-20.58388838669922;55.933715957686246;5500.4609375;17772.0;30.301556759312053
53;-27.1295617245619;-16.783950926389583;55.619662111117115;5590.12060546875;19970.0;33.48224355609762
54;-25.421007203198425;-19.877095613422235;56.736955502139885;4986.0439453125;17057.0;32.37666618409565
